Word,Number of Syllables
cenderai,3
cenderamata,5
cenderung,3
cengal,2
cengeng,2
cengkaman,3
cengkung,2
cepat,2
cepu,2
cepumas,3
cerah,2
ceramah,3
cerana,3
cerca,2
cercaan,3
cerdik,2
cereka,3
cerekarama,5
cerewet,3
cergas,2
ceria,3
cerita,3
ceritera,4
cermin,2
cerminan,3
ceroboh,3
cerpen,2
cerucuk,3
ceruk,2
cerun,2
cerut,2
cetak,2
cetakan,3
cetek,2
cetus,2
cetusan,3
ciar,2
cicah,2
cicir,2
cicit,2
cikgu,2
cilik,2
cincang,2
cincin,2
cindai,2
cinta,2
cintamani,4
ciplak,2
cipta,2
ciptaan,3
ciri,2
cirit-birit,4
cit,1
cita,2
citra,2
ciuman,3
cocok,2
coli,2
comel,2
comot,2
condong,2
congak,2
contoh,2
cop,1
cor,1
corak,2
corat-coret,4
coret,2
coretan,3
corong,2
corot,2
cota,2
cuaca,3
cuai,2
cuak,2
cuba,2
cubaan,3
cuci,2
cucu,2
cucuk,2
cucur,2
cuit,2
cukai,2
cukup,2
culas,2
culik,2
cuma,2
cungap,2
cungkil,2
cup,1
curah,2
curahan,3
curam,2
curang,2
curi,2
curiga,3
cuti,2
dabik,2
dabir,2
dabus,2
dacing,2
dada,2
dadah,2
daerah,3
daftar,2
dagang,2
dagangan,3
daging,2
dagu,2
dah,1
dahaga,3
daham,2
dahan,2
dahar,2
dahi,2
dahsyat,2
dahulu,3
daif,2
daing,2
dak,1
dakap,2
dakapan,3
dakar,2
daki,2
daku,2
dakwa,2
dakwaan,3
dakwah,2
dakwat,2
dal,1
dalam,2
dalaman,3
dalang,2
dali,2
dalik,2
dalil,2
daling,2
dam,1
damai,2
damak,2
damar,2
dami,2
damping,2
dana,2
danau,2
dandan,2
dandanan,3
dandang,2
dang,1
dangdut,2
dangkal,2
dapat,2
dapur,2
dar,1
dara,2
darah,2
darat,2
daratan,3
dari,2
daripada,4
darjah,2
darjat,2
daru,2
darurat,3
das,1
dasar,2
dat,1
datang,2
datar,2
dataran,3
datin,2
dato,2
datu,2
datuk,2
daulat,2
daun,2
daya,2
dayang,2
debar,2
debaran,3
debat,2
debu,2
dedah,2
degil,2
degupan,3
dek,1
dekan,2
dekat,2
delapan,3
delima,3
demam,2
deman,2
demang,2
demi,2
demikian,4
demis,2
den,1
denda,2
dendam,2
dendang,2
dendangan,3
dengar,2
dengki,2
dengkuran,3
dentuman,3
depa,2
depan,2
depang,2
dera,2
deraan,3
deraian,3
deras,2
derek,2
deretan,3
deringan,3
derita,3
derma,2
dermaga,3
deru,2
deruan,3
deruman,3
derus,2
desa,2
desak,2
desakan,3
desas,2
desas-desus,4
desus,2
detik,2
dewal,2
dewan,2
dewana,3
dewasa,3
dewi,2
dia,1
diam,2
dian,2
dikir,2
dil,1
dim,1
dina,2
dinding,2
dingin,2
dinihari,4
diraja,3
diri,2
doa,2
dobi,2
dodoi,2
dodol,2
dogan,2
dok,1
dokong,2
dol,1
dondang,2
dong,1
dongeng,2
dorongan,3
dosa,2
dua,2
dubur,2
duda,2
duduk,2
duga,2
dugaan,3
duit,2
duka,2
dukacita,4
dukun,2
dukung,2
dukungan,3
dulang,2
duli,2
dulu,2
dungu,2
dungun,2
dunia,3
duniawi,4
duri,2
dusta,2
duta,2
duyung,2
dwi,1
dwibahasa,4
dwiguna,3
dwimingguan,4
edar,2
edaran,3
ehwal,2
eja,2
ejaan,3
ejek,2
ejekan,3
eka,2
ekor,2
ekoran,3
ela,2
elak,2
elaun,2
elok,2
emak,2
emas,2
embun,2
empangan,3
empat,2
empuk,2
empunya,3
enak,2
encik,2
endah,2
endang,2
endon,2
enggan,2
engkau,2
engku,2
entah,2
erat,2
erti,2
esa,2
esok,2
faedah,3
faham,2
fahaman,3
fajar,2
fakir,2
fana,2
faraj,2
fardu,2
fasal,2
fasih,2
fatah,2
fatwa,2
fikir,2
fikiran,3
firasat,3
firman,2
firus,2
fitnah,2
fitrah,2
fitri,2
fungsi,2
gabung,2
gabungan,3
gabus,2
gadai,2
gadaian,3
gading,2
gadis,2
gaduh,2
gagah,2
gagal,2
gagang,2
gagap,2
gagasan,3
gah,1
gahara,3
gajah,2
gaji,2
gajus,2
galah,2
galak,2
galakan,3
galang,2
galas,2
gali,2
galur,2
gaman,2
gamat,2
gamba,2
gambar,2
gambaran,3
gambus,2
gamelan,3
gamit,2
gana,2
ganang,2
ganas,2
ganda,2
gandaan,3
ganding,2
gandingan,3
gang,1
ganggang,2
gangguan,3
gangsa,2
