Word,Number of Syllables
merpati,3
mertajam,3
mertua,3
meruap,3
merubah,3
merudum,3
merugikan,4
merujuk,3
merumitkan,4
merumuskan,4
meruncing,3
merundingkan,4
merungut,3
meruntuh,3
meruntuhkan,4
meruntun,3
merupakan,4
merusuh,3
meski,2
meskipun,3
mesra,2
mesti,2
mesyuarat,4
mewah,2
mewajarkan,4
mewakafkan,4
mewakili,4
mewarisi,4
mewarnai,4
mewarnakan,4
mewartakan,4
mewasiatkan,5
mewawancara,5
mewujudkan,4
meyakini,4
meyakinkan,4
mi,1
miang,2
midi,2
milik,2
milikan,3
milo,2
mimbar,2
mimpi,2
mina,2
minat,2
minggu,2
mingguan,3
minta,2
minum,2
minuman,3
minyak,2
mirip,2
misai,2
misbah,2
miskin,2
mitar,2
moga,2
mogok,2
mohon,2
molek,2
monel,2
mong,1
mongel,2
montel,2
monyet,2
moya,2
moyang,2
muafakat,4
muak,2
muamalat,4
muara,3
muat,2
muatan,3
muazam,3
mubaligh,3
mubarak,3
muda,2
mudah,2
muda-mudi,4
mudarat,3
mudi,2
muflis,2
mufti,2
muhajirin,4
muhibah,3
muhrim,2
muih,2
mujahadah,4
mujahid,3
mujarab,3
mujur,2
muka,2
mukadimah,4
mukim,2
mukjizat,3
mukmin,2
muktamad,3
mula,2
mulai,3
mulas,2
mulia,3
muluk,2
mulus,2
mulut,2
munasabah,4
muncul,2
mundar,2
mundar-mandir,4
mundur,2
munggu,2
mungkar,2
mungkin,2
munsyi,2
muntah,2
murah,2
murahan,3
murai,2
muram,2
muri,2
murid,2
murka,2
murni,2
murung,2
musafir,3
musang,2
musibah,3
musim,2
muslihat,3
muslim,2
muslimah,3
muslimin,3
musnah,2
mustahak,3
mustahil,3
mustajab,3
musuh,2
musyawarah,4
musykil,2
mutakhir,3
mutiara,4
mutlak,2
mutu,2
nabi,2
nada,2
nadi,2
nadim,2
nafas,2
nafi,2
nafkah,2
nafsu,2
naga,2
nahas,2
nahu,2
naib,2
naik,2
naim,2
najis,2
naka,2
nakal,2
nakhoda,3
nala,2
naluri,3
nam,1
nama,2
nampak,2
namun,2
nan,1
nanah,2
nanas,2
nanti,2
nara,2
nas,1
nasi,2
nasib,2
nasihat,3
naskhah,2
nasyid,2
nata,2
natal,2
natijah,3
naung,2
naungan,3
nazar,2
negara,3
negeri,3
nekad,2
nelayan,3
nen,1
nenas,2
nenek,2
neraca,3
neraka,3
neri,2
nescaya,3
nestapa,3
ngajat,2
ngam,1
ngawur,2
ngeri,2
nia,2
niaga,3
niat,2
nihil,2
nikah,2
nikmat,2
nila,2
nilai,2
nilaian,3
nin,1
nipah,2
nipis,2
nirmala,3
nisa,2
nisan,2
nisbah,2
nista,2
noda,2
noktah,2
non,1
nona,2
noni,2
nujum,2
nukil,2
nukilan,3
nun,1
nurani,3
nuri,2
nusa,2
nusantara,4
nyak,1
nyala,2
nyaman,2
nyamuk,2
nyanyi,2
nyanyian,3
nyaring,2
nyaris,2
nyata,2
nyawa,2
nyenyak,2
nyiru,2
nyiur,2
nyonya,2
obor,2
olah,2
olahan,3
olahraga,4
olahragawan,5
olahragawati,6
olak,2
oleh,2
ombak,2
omong,2
omongan,3
onak,2
orang,2
orna,2
otak,2
otot,2
pacat,2
pacu,2
pacuan,3
padah,2
padahal,3
padam,2
padan,2
padang,2
padas,2
padat,2
padi,2
padu,2
paduan,3
paduka,3
pagar,2
pagi,2
paha,2
pahala,3
pahat,2
pahit,2
pahlawan,3
pair,2
pais,2
pajak,2
pak,1
paka,2
pakai,2
pakaian,3
pakar,2
pakatan,3
paksa,2
paksaan,3
paksi,2
paku,2
palang,2
palas,2
paling,2
palit,2
palitan,3
palma,2
palsu,2
paluan,3
pamer,2
pameran,3
pampasan,3
pana,2
panah,2
panas,2
panca,2
pancaindera,5
pancar,2
pancaragam,4
pancaran,3
pancing,2
pancit,2
pancung,2
pandai,2
pandan,2
pandang,2
pandangan,3
pandir,2
pandu,2
panduan,3
pang,1
panggang,2
panggil,2
panggilan,3
panggung,2
pangkah,2
pangkal,2
pangkalan,3
pangkat,2
pangkuan,3
panglima,3
pangsapuri,4
pani,2
panja,2
panjang,2
panjat,2
panji,2
pantai,2
pantang,2
pantas,2
pantau,2
pantulan,3
pantun,2
papan,2
papar,2
paparan,3
para,2
parah,2
param,2
parang,2
paras,2
pari,2
parit,2
paru,2
parut,2
pasang,2
pasangan,3
pasar,2
pasaran,3
pasir,2
pasrah,2
pasti,2
pasu,2
pasukan,3
patah,2
pati,2
patih,2
patuh,2
patuk,2
patung,2
patut,2
pauh,2
pauk,2
paut,2
pawagam,3
pawah,2
pawang,2
paya,2
payah,2
payang,2
payon,2
payu,2
payung,2
pecah,2
pecahan,3
pecat,2
pecuk,2
pecut,2
pecutan,3
pedagang,4
pedal,2
pedalaman,4
pedang,2
pedas,2
pedati,3
pedih,2
pedoman,3
peduli,3
pegang,2
pegangan,3
pegas,2
pegawai,3
peguam,3
pejabat,3
pejalan,3
pejam,2
pejuang,3
pek,1
peka,2
pekak,2
pekan,2
pekarangan,4
pekat,2
pekebun,3
pekedai,3
pekeliling,4
pekerja,3
pekerjaan,4
pekerti,3
pekikan,3
pekung,2
pelabuhan,4
pelabur,3
pelaburan,4
peladang,3
pelagak,3
pelajar,3
pelajaran,4
pelajari,4
pelakon,3
pelaksana,4
pelaksanaan,5
pelaku,3
pelali,3
pelamin,3
pelampau,3
pelana,3
pelancar,3
pelancaran,4
pelancong,3
pelancongan,4
pelanduk,3
pelanggan,3
pelanggaran,4
pelangi,3
pelantar,3
pelantaran,4
pelantikan,4
pelapik,3
pelapis,3
pelarasan,4
pelari,3
pelarian,4
pelaris,3
pelatih,3
pelaut,3
pelawa,3
pelawaan,4
pelawak,3
pelawan,3
pelawat,3
pelayan,3
pelayar,3
pelayaran,4
pelbagai,3
pelbagaian,4
peledak,3
pelekat,3
pelempar,3
pelengkap,3
pelepah,3
pelepas,3
pelepasan,4
peletakan,4
peliharaan,5
pelik,2
pelincir,3
pelindung,3
pelita,3
pelobi,3
pelompat,3
pelonggaran,4
pelontar,3
pelopor,3
pelosok,3
peluang,3
peluasan,4
peluh,2
peluk,2
pelukan,3
pelukis,3
pelumba,3
peluncur,3
pelupusan,4
peluru,3
pemaaf,3
pemacu,3
pemahaman,4
pemain,3
pemaju,3
pemakai,3
pemakaian,4
pemakanan,4
pemalas,3
pemalu,3
pemanah,3
pemanas,3
pemancar,3
pemandangan,4
pemandu,3
pemanduan,4
pemanggil,3
pemangku,3
pemanjangan,4
pemansuhan,4
pemantulan,4
pemaparan,4
pemarkahan,4
pemasang,3
pemasangan,4
pemasaran,4
pemastautin,4
pembabitan,4
pembaca,3
pembacaan,4
pembahagian,5
pembaharuan,5
pembahasan,4
pembaikan,4
pembakar,3
pembakaran,4
pembalasan,4
pembaling,3
pembangkang,3
pembangun,3
pembangunan,4
pembantu,3
pembasmian,4
pembatalan,4
pembatasan,4
pembawa,3
pembawaan,4
pembayang,3
pembayar,3
pembayaran,4
pembaziran,4
pembebasan,4
pembedahan,4
pembekal,3
pembekalan,4
pembelaan,4
pembelajaran,5
pembeli,3
pembelian,4
pembentang,3
pembentangan,4
pembentuk,3
pembentukan,4
pemberhentian,5
pemberi,3
pemberian,4
pemberita,4
pemberitaan,5
pemberitahuan,6
pemberontak,4
pemberontakan,5
pembersihan,4
pembesar,3
pembesaran,4
pembetulan,4
pembetung,3
pembetungan,4
pembiaya,4
pembiayaan,5
pembicara,4
pembicaraan,5
pembikin,3
pembikinan,4
pembimbing,3
pembina,3
pembinaan,4
pembohongan,4
pemboleh,3
pemborong,3
pembuangan,4
pembuat,3
pembuatan,4
pembubaran,4
pembudayaan,5
pembuka,3
pembukaan,4
pembungkusan,4
pembunuh,3
pembunuhan,4
pemburu,3
pemburuan,4
pemecah,3
pemecahan,4
pemecatan,4
pemegang,3
pemegangan,4
pemenang,3
pemenjaraan,5
pementasan,4
pemerasan,4
pemergian,4
pemerhati,4
pemerhatian,5
pemeriksaan,5
pemeringkatan,5
pemerintah,4
pemerintahan,5
pemerolehan,5
pemesongan,4
pemeteraian,5
pemetik,3
pemidang,3
pemidato,4
pemikir,3
pemikiran,4
pemilih,3
pemilihan,4
pemilik,3
pemilikan,4
pemimpin,3
peminat,3
pemindahan,4
peminjam,3
peminta,3
pemisah,3
pemisahan,4
pemiutang,4
pemodal,3
pemodenan,4
pemohon,3
pemotong,3
pemotongan,4
pemuas,3
pemuda,3
pemuka,3
pemukul,3
pemula,3
pemulauan,4
pemulihan,4
pemuliharaan,6
pemunggahan,4
pemungut,3
pemupukan,3
pemurah,3
pemurnian,4
pemusnah,3
pemutar,3
pemutus,3
penafian,4
penagih,3
penagihan,4
penahan,3
penahanan,4
penaja,3
penajaan,4
penakluk,3
penaklukan,4
penalaan,4
penama,3
penamaan,4
penamat,3
penamatan,4
penambahan,4
penambang,3
penampan,3
penampang,3
penampilan,4
penanaman,4
penanda,3
penangguhan,4
penanggung,3
penanggungan,4
penanggungjawab,5
penangkal,3
penangkap,3
penangkapan,4
penanti,3
penantian,4
penapis,3
penapisan,4
penari,3
penarik,3
penarikan,4
penasihat,4
penat,2
penata,3
penataan,4
penatar,3
penaung,4
penawar,3
penawaran,4
penayangan,4
pencabar,3
pencabulan,4
pencak,2
pencakar,3
pencalonan,4
pencangkuk,3
pencapaian,4
pencari,3
pencarian,4
pencarum,3
pencegah,3
pencegahan,4
pencemaran,4
pencen,2
penceraian,4
pencerita,4
penceritaan,5
penceroboh,4
pencetak,3
pencetus,3
pencinta,3
pencipta,3
penciptaan,4
pencuci,3
pencukaian,4
penculik,3
penculikan,4
pencuri,3
pendaftar,3
pendaftaran,4
pendahulu,4
pendahuluan,5
pendaki,3
pendakian,4
pendakwa,3
pendakwaan,4
pendakwah,3
pendam,2
pendandan,3
pendapat,3
pendapatan,4
pendaratan,4
pendatang,3
pendawaian,4
pendedahan,4
pendek,2
pendekar,3
pendekatan,4
pendendam,3
pendengar,3
pendengaran,4
penderaan,4
penderitaan,5
penderma,3
pendeta,3
pendiam,3
pendidik,3
pendidikan,4
pendingin,3
pendirian,4
pendorong,3
penduduk,3
pendudukan,4
pendukung,3
penebang,3
penebus,3
penebusan,4
penekanan,4
penelahan,4
penelitian,5
peneman,3
penembak,3
penempahan,4
penempatan,4
penemuan,4
penenang,3
penentang,3
penentangan,4
penentu,3
penentuan,4
peneraju,4
penerang,3
penerangan,4
penerapan,4
penerbangan,4
penerbit,3
penerbitan,4
penerima,4
penerimaan,5
penerjun,3
peneroka,4
penerokaan,5
penerus,3
penerusan,4
penetapan,4
pengabaian,4
pengacara,4
pengacau,3
pengadil,3
pengadilan,4
pengadu,3
pengadun,3
pengagihan,4
pengairan,4
pengajar,3
pengajaran,4
pengajian,4
pengakhiran,4
pengakuan,4
pengalaman,4
pengalir,3
pengaliran,4
pengamal,3
pengaman,3
pengamatan,4
pengambil,3
pengambilalihan,6
pengambilan,4
pengampunan,4
pengancam,3
penganggur,3
pengangguran,4
pengangkut,3
pengangkutan,4
penganiayaan,6
penganjur,3
pengantar,3
pengantara,4
pengantin,3
penganugerahan,6
penganut,3
pengarah,3
pengarahan,4
pengarang,3
pengaruh,3
pengasah,3
pengasas,3
pengasih,3
pengasuhan,4
pengaturcaraan,6
pengawal,3
pengawalan,4
pengawas,3
pengawasan,4
pengebumian,5
pengecilan,4
pengecualian,6
pengecut,3
pengedar,3
pengedaran,4
pengekalan,4
pengelola,4
pengelolaan,5
pengeluar,4
pengeluaran,5
pengembangan,4
pengembara,4
pengembaraan,5
pengemis,3
pengemudi,4
pengenaan,4
pengenalan,4
pengendali,4
pengendalian,5
pengenduran,4
pengertian,4
pengerusi,4
pengerusikan,5
pengesahan,4
pengesan,3
pengetahuan,5
pengetua,4
penggabungan,4
penggadaian,4
penggal,2
penggalak,3
penggalian,4
penggambaran,4
pengganas,3
pengganti,3
penggantian,4
penggantungan,4
penggarapan,4
penggawa,3
penggegar,3
penggelapan,4
penggemar,3
penggembala,4
penggempur,3
penggera,3
penggerak,3
penggerudian,5
penggiat,3
penggoda,3
penggosokan,4
penggubah,3
penggubalan,4
pengguguran,4
penggulungan,4
pengguna,3
penggunaan,4
penghadaman,4
penghakiman,4
penghalang,3
penghantar,3
penghantaran,4
penghapusan,4
penghargaan,4
penghasilan,4
penghasut,3
penghayatan,4
penghias,3
penghibur,3
penghidap,3
penghidupan,4
penghijrahan,4
penghinaan,4
penghisap,3
penghormatan,4
penghubung,3
penghujung,3
penghulu,3
penghuni,3
pengiklan,3
pengiklanan,4
pengiktirafan,5
pengikut,3
pengilang,3
pengilangan,4
pengimbang,3
penginapan,4
pengindahan,4
pengintip,3
pengira,3
pengiraan,4
pengiran,3
pengiring,3
pengisi,3
pengisian,4
pengisytiharan,5
pengkaji,3
pengkarya,3
pengkaryaan,4
pengkhianat,4
pengkhianatan,5
pengkhususan,4
pengkritik,3
penglihatan,4
penglipur,3
pengolah,3
pengorbanan,4
pengsan,2
penguasa,4
penguasaan,5
penguat,3
penguatkuasaan,7
pengubah,3
pengubahsuaian,6
pengubat,3
pengucapan,4
pengudaraan,5
penguji,3
pengukuhan,4
pengukur,3
pengukuran,4
pengulangan,4
pengulas,3
pengumpul,3
pengumpulan,4
pengumuman,4
penguncupan,4
pengundian,4
pengunduran,4
pengungkapan,4
pengunjung,3
pengurangan,4
pengurus,3
pengurusan,4
pengusaha,4
peniaga,4
penilai,3
penilaian,4
penimbal,3
penimbang,3
penindas,3
penindasan,4
pening,2
peninggalan,4
peningkatan,4
peninjau,3
peninju,3
penipu,3
penipuan,4
peniup,3
penjadualan,5
penjaga,3
penjagaan,4
penjahat,3
penjajah,3
penjajahan,4
penjana,3
penjanaan,4
penjara,3
penjaring,3
penjaringan,4
penjelajah,4
penjelajahan,5
penjelasan,4
penjenamaan,5
penjenayah,4
penjimatan,4
penjiwaan,4
penjolok,3
penjual,3
penjualan,4
penjuru,3
penolakan,4
penolong,3
penonjolan,4
penonton,3
penswastaan,5
pensyarah,3
pentadbir,3
pentadbiran,4
pentas,2
penterjemah,4
penterjemahan,5
penternak,3
penternakan,4
penting,2
penubuhan,4
penuh,2
penukaran,4
penulis,3
penulisan,4
penumbuk,3
penumpang,3
penumpuan,4
penundaan,4
penunggang,3
penunjuk,3
penuntut,3
penurunan,4
penutup,3
penutupan,4
penyair,3
penyajak,3
penyakit,3
penyalahgunaan,6
penyalin,3
penyalinan,4
penyalur,3
penyaluran,4
penyamaan,4
penyamaran,4
penyambungan,4
penyampai,3
penyampaian,4
penyamun,3
penyandang,3
penyanyi,3
penyarung,3
penyata,3
penyatuan,4
penyayang,3
penyebab,3
penyebaran,4
penyebutan,4
penyedia,4
penyediaan,5
penyejat,3
penyejuk,3
penyejukan,4
penyeksaan,4
penyelam,3
penyelamat,4
penyelaras,4
penyelarasan,5
penyelenggaraan,6
penyelesai,4
penyelesaian,5
penyelewengan,5
penyelia,4
penyeliaan,5
penyelidik,4
penyelidikan,5
penyeludupan,5
penyemarakan,5
penyembelihan,5
penyembuhan,4
penyembur,3
penyemburan,4
penyempurnaan,5
penyenaraian,5
penyendal,3
penyenggaraan,5
penyepaduan,5
penyepit,3
penyerahan,4
penyerang,3
penyerap,3
penyerapan,4
penyerbu,3
penyeri,3
penyerlahan,4
penyertaan,4
penyesalan,4
penyesuaian,5
penyewa,3
penyewaan,4
penyiar,3
penyiaran,4
penyiasat,4
penyiasatan,5
penyimpan,3
penyimpanan,4
penyimpangan,4
penyingkiran,4
penyisihan,4
penyokong,3
penyu,2
penyuburan,4
penyucian,4
penyudah,3
penyudahan,4
penyuluh,3
penyumbang,3
penyumbat,3
penyuntik,3
penyunting,3
penyusun,3
penyusunan,4
penyusutan,4
pepatah,3
pepejal,3
peperangan,4
peperiksaan,5
perabot,3
peracun,3
peradaban,4
peraduan,4
peraga,3
peragaan,4
peragawati,5
perahu,3
perai,2
peraih,3
perairan,4
perak,2
perakam,3
perakuan,4
peralatan,4
peralihan,4
peramah,3
perampas,3
peranan,3
perancang,3
perancangan,4
peranda,3
perang,2
perangai,3
perangan,3
peranginan,4
perangkaan,4
perangkap,3
perangsang,3
perantara,4
perantaraan,5
perantau,3
perantauan,4
perantis,3
perap,2
perarakan,4
perasa,3
perasaan,4
perasan,3
perasmian,4
peraturan,4
peratus,3
peratusan,4
perawan,3
perawat,3
perawatan,4
perayaan,4
perayau,3
perbadanan,4
perbahasan,4
perbaiki,4
perbalahan,4
perban,2
perbandaran,4
perbandingan,4
perbanyak,3
perbarisan,4
perbatuan,4
perbelanjaan,5
perbendaharaan,6
perbezaan,4
perbicaraan,5
perbidanan,4
perbincangan,4
perbualan,4
perbuatan,4
percakapan,4
percakaran,4
percambahan,4
percampuran,4
percanggahan,4
percaturan,4
percaya,3
perceraian,4
percetakan,4
percik,2
percikan,3
percintaan,4
percubaan,4
percukaian,4
percuma,3
percutian,4
perdagangan,4
perdamaian,4
perdana,3
perdaya,3
perdebatan,4
pere,2
perebutan,4
peredaran,4
pereka,3
peremajaan,5
perempat,3
perempuan,4
perenang,3
perencanaan,5
perenggan,3
peres,2
pergaduhan,4
pergantungan,4
pergaulan,4
pergelangan,4
pergelutan,4
pergentingan,4
pergerakan,4
pergeseran,4
pergi,2
pergolakan,4
pergunungan,4
perguruan,4
perhati,3
perhatian,4
perhatikan,4
perhiasan,4
perhimpunan,4
perhitungan,3
perhubungan,4
perhutanan,4
peri,2
periang,3
peribadi,4
peribahasa,5
perigi,3
perihal,3
perikanan,4
perikatan,4
periksa,3
perilaku,4
perincian,4
perindu,3
peringat,3
peringatan,4
peringkat,3
perintah,3
perintis,3
perisa,3
perisai,3
perisian,4
perisik,3
perisikan,4
peristiwa,4
perisytiharan,5
perit,2
periuk,3
perjalanan,4
perjanjian,4
perjawatan,4
perjuangan,4
perjudian,4
perjumpaan,4
perkahwinan,4
perkakas,3
perkakasan,4
perkampungan,4
perkapalan,4
perkara,3
perkarangan,4
perkasa,3
perkataan,4
perkauman,4
perkayuan,4
perkelahan,4
perkembangan,4
perkenalan,4
perkhabaran,4
perkhemahan,4
perkhidmatan,4
perkilangan,4
perkiraan,4
perkongsian,4
perkosa,3
perkosaan,4
perkuburan,4
perkumpulan,4
perladangan,4
perlahan,3
perlaksanaan,5
perlakuan,4
perlambangan,4
perlanggaran,4
perlanjutan,4
perlantikan,4
perlawanan,4
perlembagaan,5
perlente,3
perlepasan,4
perletakan,4
perli,2
perlindungan,4
perlombongan,4
perlu,2
perluasan,4
perlukan,3
perlumbaan,4
permai,2
permaidani,4
permainan,3
permaisuri,4
permasalahan,5
permata,3
permintaan,4
permodalan,4
permohonan,4
permukaan,4
permulaan,4
permusuhan,4
pernafasan,4
pernah,2
perniagaan,5
pernikahan,4
pernyataan,4
perogol,3
perolehan,4
perosak,3
perpaduan,4
perparitan,4
perpecahan,4
perpindahan,4
perpisahan,4
perpuluhan,4
perpustakaan,5
persada,3
persahabatan,5
persaingan,3
persalinan,4
persamaan,4
persandingan,4
persaraan,4
persatu,3
persatuan,4
persaudaraan,5
persediaan,5
persefahaman,5
persegi,3
persekitaran,5
persekolahan,5
persekutuan,5
perselisihan,5
persembah,3
persembahan,4
persempadanan,5
persendirian,5
persengketaan,5
persenjataan,5
perseorangan,5
persetan,3
perseteruan,5
persetujuan,5
persiapan,4
persiaran,4
persidangan,4
persilakan,4
persilatan,4
persimpangan,4
persinggahan,4
persis,2
persisiran,4
persoalan,4
persuratan,4
persyarikatan,5
pertabalan,4
pertahanan,4
pertalian,4
pertama,3
pertambahan,4
pertandingan,4
pertanggungjawaban,6
pertanian,4
pertanyaan,4
pertapaan,4
pertaruh,3
pertaruhan,4
pertarungan,4
pertelagahan,5
pertelingkahan,5
pertembungan,4
pertempuran,4
pertemuan,4
pertengahan,4
pertengkaran,4
pertentangan,4
pertiga,3
pertikaian,4
pertimbangan,4
pertindihan,4
pertiwi,3
pertolongan,4
pertuan,3
pertubuhan,4
pertukangan,4
pertukaran,4
pertumbuhan,4
pertumpahan,4
pertunangan,4
pertunjukan,4
pertuturan,4
perubahan,4
perubatan,4
perumahan,4
perumpamaan,5
peruncit,3
peruncitan,4
perundangan,4
perunding,3
perundingan,4
peruntukan,4
perusahaan,5
perut,2
perutusan,4
perwakilan,4
perwatakan,4
perwira,3
pes,1
pesaing,3
pesakit,3
pesalah,3
pesan,2
pesanan,3
pesara,3
pesat,2
pesawat,3
peserta,3
pesilat,3
pesisir,3
pesisiran,4
pesona,3
pesta,2
pesuruhjaya,5
peta,2
petah,2
petak,2
petaka,3
petanda,3
petang,2
petani,3
peteh,2
peti,2
petik,2
petikan,3
petir,2
petrokimia,5
petua,3
petugas,3
petunjuk,3
pewaris,3
pewarna,3
piagam,3
piah,2
piala,3
pian,2
piasau,3
piatu,3
piawai,3
piawaian,4
picisan,3
pihak,2
pijak,2
pikat,2
pikul,2
pilih,2
pilihan,3
pilu,2
pilus,2
pimpin,2
pimpinan,3
pinang,2
pinangan,3
pincang,2
pinda,2
pindaan,3
pindah,2
pindahan,3
pingat,2
pinggan,2
pinggang,2
pinggir,2
pinggiran,3
pinjam,2
pinjaman,3
pinta,2
pintar,2
pintas,2
pintasan,3
pintu,2
pipi,2
pipit,2
piring,2
pisah,2
pisang,2
pisau,2
pita,2
pitam,2
pohon,2
pojok,2
pokok,2
pol,1
pola,2
polan,2
polong,2
pondok,2
pong,1
ponteng,2
potong,2
potongan,3
pramugara,4
pramugari,4
prasangka,3
prasaran,3
prasarana,4
prasejarah,4
prasyarat,3
prestasi,3
prihatin,3
puak,2
pual,2
puan,2
puas,2
puasa,3
pucat,2
pucuk,2
pudar,2
pugar,2
puisi,3
puitis,3
pujaan,3
pujangga,3
puji,2
pujian,3
pujuk,2
pujukan,3
pukal,2
pukau,2
pukul,2
pukulan,3
pula,2
pulang,2
pulangan,3
pulas,2
pulau,2
pulih,2
puluh,2
puluhan,3
pulut,2
pun,1
punah,2
punat,2
punca,2
puncak,2
punggung,2
pungut,2
pungutan,3
puntung,2
punya,2
pupuk,2
pupus,2
pura,2
purata,3
purba,2
purbawara,4
purdah,2
puri,2
purnama,3
pusaka,3
pusara,3
pusaran,3
pusat,2
pusing,2
pusingan,3
puspa,2
pusta,2
pustaka,3
pusu,2
putaran,3
putat,2
putera,3
puteri,3
putih,2
putu,2
putus,2
qasidah,3
rabak,2
rabu,2
rabun,2
racun,2
rad,1
radang,2
raden,2
radin,2
rafik,2
raga,2
ragam,2
ragu,2
ragut,2
rahib,2
rahmat,2
rahmatullah,4
rahsia,3
rai,2
raih,2
rais,2
raja,2
rajah,2
rajang,2
rajin,2
rak,1
rakam,2
rakaman,3
rakan,2
rakit,2
raksasa,3
rakuk,2
rakus,2
rakyat,2
ralat,2
rama,2
ramah,2
ramai,2
ramal,2
ramalan,3
rambang,2
rambut,2
rambutan,3
rami,2
ramin,2
ramis,2
rampai,2
rampaian,3
rampas,2
rampasan,3
ramuan,3
ramus,2
rana,2
ranap,2
rancak,2
rancang,2
rancangan,3
randah,2
rang,1
ranggi,2
rangka,2
rangkaian,3
rangkap,2
rangking,2
rangkul,2
rangkum,2
rangkuman,3
rangsangan,3
rangup,2
ranjau,2
rantai,2
rantaian,3
rantau,2
ranting,2
rapat,2
rapi,2
rapuh,2
ras,1
rasa,2
rasai,2
rasak,2
rasmi,2
rasuah,3
rata,2
ratah,2
ratahan,3
ratap,2
ratapan,3
ratna,2
ratu,2
ratus,2
ratusan,3
raut,2
rawa,2
rawak,2
rawang,2
rawat,2
rawatan,3
rawi,2
raya,2
rayu,2
rayuan,3
rebab,2
rebah,2
rebahan,3
rebana,3
rebat,2
rebung,2
rebus,2
rebut,2
rebutan,3
reda,2
redah,2
redang,2
redas,2
redup,2
regi,2
regis,2
regu,2
rehat,2
rejam,2
rejaman,3
rejang,2
reka,2
rekaan,3
rekah,2
reket,2
rela,2
relai,2
remaja,3
reman,2
rembah,2
rembat,2
rembatan,3
remeh,2
remeh-temeh,4
rempah,2
rempeyek,3
rempuh,2
rempuhan,3
rena,2
renang,2
rencah,2
rencana,3
renda,2
rendah,2
rendang,2
rengan,2
renggang,2
rentak,2
rentang,2
rentap,2
rentas,2
rentetan,3
renti,2
renung,2
renungan,3
renyai,2
reput,2
resah,2
resam,2
resmi,2
restu,2
retak,2
rezeki,3
ria,2
riadah,3
riak,2
riang,2
riba,2
ribu,2
ribuan,3
ribut,2
riding,2
rima,2
rimas,2
rimba,2
rimbun,2
rimbunan,3
rindu,2
ringan,2
ringgit,2
ringkas,2
ringkasan,3
rintangan,3
rintih,2
rintihan,3
rintik,2
rintis,2
rintisan,3
risalah,3
risau,2
risikan,3
riuh,2
riuk,2
riwayat,3
robak,2
robek,2
roboh,2
roda,2
rogol,2
roh,1
rohani,3
rohmat,2
roi,1
rojak,2
rokok,2
rombak,2
rombakan,3
rombongan,3
rompak,2
rompakan,3
rona,2
rondaan,3
rosak,2
rotan,2
roti,2
royan,2
royong,2
ru,1
ruah,2
ruan,2
ruang,2
ruangan,3
ruapan,3
ruas,2
rubah,2
rubiah,3
rubin,2
rudi,2
rugi,2
rujuk,2
rujukan,3
rukuk,2
rukun,2
rumah,2
rumbai,2
rumia,3
rumit,2
rumpun,2
rumput,2
rumus,2
rumusan,3
runcing,2
runcit,2
runding,2
rundingan,3
rundung,2
rung,1
rungkai,2
rungut,2
rungutan,3
runsing,2
runtuh,2
runtuhan,3
runut,2
runyam,2
rupa,2
rupiah,3
rusa,2
rusuhan,3
rusuk,2
ruyung,2
saat,2
saban,2
sabar,2
sabda,2
sabi,2
sabit,2
sabut,2
saduran,3
safa,2
saga,2
sagat,2
sagu,2
sah,1
sahabat,3
sahaja,3
saham,2
sahib,2
sahih,2
sahsiah,3
sahut,2
sahutan,3
saif,2
saing,2
saingan,3
saja,2
sajak,2
saji,2
sajian,3
sak,1
sakai,2
sakan,2
sakar,2
sakat,2
saki,2
saki-baki,4
sakit,2
saksama,3
saksi,2
sakti,2
saku,2
sal,1
sala,2
salak,2
salam,2
salang,2
salasilah,4
salib,2
salinan,3
saling,2
saliran,3
salji,2
salju,2
salur,2
saluran,3
salutan,3
sama,2
samah,2
samak,2
saman,2
samar,2
samaran,3
sambah,2
sambal,2
sambar,2
sambil,2
sambilan,3
sambung,2
sambungan,3
sambut,2
sambutan,3
sami,2
samir,2
sampah,2
sampah-sarap,4
sampai,2
samping,2
sampingan,3
sampuk,2
sampul,2
samsu,2
samudera,4
sana,2
sanak,2
sanak-saudara,5
sanda,2
sandak,2
sandang,2
sandar,2
sandaran,3
sandiwara,4
sang,1
sangar,2
sangat,2
sanggah,2
sanggar,2
sanggup,2
sangka,2
sangkaan,3
sangkak,2
sangkar,2
sangsi,2
sanjung,2
sanjungan,3
sano,2
santai,2
santan,2
santapan,3
santun,2
sanubari,4
sap,1
sapa,2
sapi,2
sapu,2
sapuan,3
saraf,2
sarah,2
saran,2
sarana,3
saranan,3
sarang,2
sarapan,3
sarat,2
sari,2
saringan,3
sarjana,3
sarung,2
sasa,2
sasak,2
sasar,2
sasaran,3
sasi,2
sastera,3
sasterawan,4
satar,2
sate,2
satu,2
satuan,3
sau,1
saudagar,3
saudara,3
saudara-mara,5
sauh,2
saujana,3
sawa,2
sawah,2
sawan,2
sawat,2
sawi,2
sawit,2
sawo,2
sayang,2
sayap,2
sayu,2
sayup,2
sayur,2
sayuran,3
se,1
sebab,2
sebab-musabab,5
sebak,2
sebar,2
sebaran,3
sebat,2
seberang,3
sebut,2
sebutan,3
sedang,2
sedap,2
sedar,2
sedekah,3
sederhana,4
sedia,3
sedih,2
sedikit,3
sedutan,3
segah,2
segak,2
segala,3
segan,2
segar,2
segari,3
segera,3
segi,2
sehingga,3
sejahtera,4
sejak,2
